Generation,SurvivalRate,GeneticDiversity
0,13.125,128
1,13.625000000000002,128
2,17.0,128
3,15.75,128
4,15.0,128
5,17.0,126
6,17.5,123
7,18.375,118
8,16.875,117
9,16.25,116
10,17.5,114
11,19.5,113
12,18.5,110
13,19.75,110
14,20.375,107
15,19.625,105
16,21.5,105
17,23.125,103
18,27.125,103
19,26.125,98
20,30.375000000000004,95
21,25.75,95
22,27.875,91
23,30.875000000000004,92
24,30.625000000000004,89
25,31.0,90
26,31.0,87
27,33.875,88
28,33.25,86
29,34.25,82
30,34.75,80
31,36.625,79
32,36.0,78
33,39.125,78
34,42.125,78
35,42.625,76
36,49.0,75
37,50.74999999999999,74
38,55.50000000000001,73
39,55.75,72
40,57.75,71
41,57.49999999999999,68
42,60.875,65
43,67.125,62
44,65.375,62
45,64.375,61
46,65.125,60
47,64.125,60
48,63.625,60
49,66.875,59
50,63.5,59
51,62.625,57
52,63.24999999999999,57
53,60.12499999999999,56
54,63.87500000000001,57
55,65.5,56
56,68.125,56
57,61.25000000000001,55
58,64.625,56
59,64.0,57
60,65.375,57
61,66.5,56
62,58.75,58
63,63.375,58
64,64.375,57
65,65.125,56
66,64.25,56
67,65.0,55
68,65.625,56
69,65.125,58
70,65.875,57
71,64.5,57
72,65.125,55
73,69.125,54
74,63.74999999999999,58
75,62.375,57
76,67.5,54
77,63.24999999999999,53
78,65.5,54
79,64.625,55
80,63.74999999999999,54
81,65.625,54
82,64.875,57
83,63.125,56
84,64.25,55
85,66.375,54
86,63.125,55
87,66.125,56
88,64.125,55
89,65.0,55
90,65.625,52
91,63.125,55
92,65.5,54
93,65.375,53
94,65.125,51
95,63.5,50
96,64.375,51
97,63.0,53
98,62.125,52
99,65.25,51
100,62.375,50
101,65.5,49
102,61.875,50
103,62.375,51
104,65.875,50
105,61.12499999999999,49
106,62.125,49
107,63.125,53
108,63.625,52
109,61.5,56
110,65.125,54
111,64.75,51
112,63.24999999999999,51
113,64.625,50
114,63.375,50
115,63.125,50
116,70.375,48
117,66.875,51
118,64.375,48
119,66.875,47
120,63.87500000000001,47
121,64.75,46
122,63.74999999999999,46
123,63.5,47
124,65.375,46
125,61.625,45
126,65.375,43
127,63.125,43
128,63.375,44
129,64.25,44
130,64.75,45
131,64.125,46
132,62.375,47
133,64.0,43
134,63.87500000000001,46
135,60.375,42
136,62.375,41
137,62.0,42
138,63.5,43
139,66.375,42
140,64.75,44
141,64.0,42
142,65.75,43
143,64.875,42
144,65.625,41
145,63.625,41
146,63.375,41
147,64.25,39
148,65.25,40
149,63.375,42
150,63.375,44
151,64.125,44
152,62.375,43
153,63.0,41
154,64.5,41
155,65.0,42
156,59.75,39
157,65.375,39
158,64.25,39
159,61.625,39
160,65.375,39
161,61.375,39
162,65.625,41
163,66.875,40
164,67.25,41
165,66.0,43
166,65.625,42
167,62.25000000000001,41
168,60.12499999999999,40
169,65.625,40
170,63.24999999999999,40
171,62.74999999999999,39
172,59.5,39
173,66.75,39
174,66.625,39
175,63.24999999999999,41
176,64.875,39
177,64.375,39
178,65.875,39
179,66.875,38
180,65.0,37
181,64.5,37
182,64.0,37
183,62.875,36
184,63.87500000000001,38
185,63.125,37
186,62.25000000000001,38
187,63.625,39
188,63.74999999999999,39
189,64.25,37
190,63.5,38
191,62.0,37
192,66.75,38
193,61.875,36
194,66.375,36
195,63.74999999999999,36
196,60.5,38
197,62.875,39
198,63.625,36
199,68.75,35
200,64.875,39
201,67.0,36
202,63.5,35
203,64.125,37
204,63.375,37
205,62.125,35
206,64.125,34
207,61.12499999999999,37
208,65.375,38
209,64.0,38
210,64.5,37
211,60.62499999999999,35
212,62.25000000000001,33
213,63.74999999999999,33
214,64.125,33
215,62.25000000000001,35
216,62.375,32
217,62.0,32
218,65.75,33
219,66.625,34
220,62.25000000000001,34
221,64.125,36
222,66.375,40
223,64.5,37
224,66.5,34
225,62.25000000000001,34
226,65.125,34
227,62.625,36
228,64.375,36
229,62.125,37
230,63.74999999999999,37
231,61.12499999999999,35
232,65.375,38
233,64.0,37
234,65.125,37
235,62.375,37
236,62.25000000000001,35
237,62.375,38
238,61.875,37
239,67.375,36
240,63.125,38
241,65.875,39
242,63.74999999999999,36
243,63.5,35
244,63.0,36
245,65.25,37
246,66.125,36
247,67.5,37
248,68.625,37
249,63.375,36
250,64.125,37
251,67.25,36
252,63.625,37
253,64.5,37
254,65.625,37
255,63.0,39
256,66.5,38
257,66.75,37
258,61.25000000000001,37
259,64.0,34
260,65.0,35
261,64.75,35
262,65.75,34
263,60.0,35
264,62.0,37
265,62.875,36
266,62.875,37
267,63.375,36
268,63.625,34
269,65.875,35
270,64.0,34
271,62.125,31
272,63.125,31
273,66.625,32
274,63.74999999999999,32
275,66.125,35
276,66.875,35
277,61.25000000000001,37
278,62.74999999999999,37
279,63.0,35
280,66.0,35
281,65.875,34
282,65.625,33
283,62.74999999999999,33
284,66.25,33
285,66.25,33
286,63.625,32
287,66.0,33
288,62.375,33
289,63.625,33
290,64.875,32
291,64.25,32
292,63.24999999999999,34
293,64.25,33
294,66.5,35
295,64.125,36
296,57.875,38
297,63.5,36
298,65.5,35
299,64.0,35
