Generation,SurvivalRate,GeneticDiversity
0,4.625,128
1,7.75,124
2,7.375,123
3,4.875,122
4,6.5,110
5,5.0,99
6,7.75,99
7,5.0,98
8,4.75,90
9,8.375,81
10,6.0,81
11,4.875,80
12,5.875,73
13,5.875,71
14,5.0,65
15,6.625,61
16,6.625,66
17,7.124999999999999,68
18,6.875000000000001,61
19,8.0,61
20,7.000000000000001,61
21,6.75,56
22,5.875,57
23,6.375,53
24,7.625,51
25,6.125,57
26,5.875,53
27,5.875,59
28,5.625,46
29,5.375,50
30,6.25,50
31,6.375,44
32,5.375,41
33,6.375,50
34,6.75,49
35,6.625,45
36,6.5,50
37,6.0,51
38,6.375,43
39,5.625,46
40,6.125,44
41,4.875,42
42,7.000000000000001,45
43,7.000000000000001,45
44,4.875,42
45,5.5,38
46,5.125,41
47,5.75,35
48,6.25,36
49,4.0,37
50,6.375,36
51,5.875,44
52,4.0,35
53,5.5,34
54,6.25,35
55,5.125,34
56,6.5,36
57,4.25,35
58,6.5,31
59,6.125,38
60,6.0,34
61,6.0,28
62,5.5,37
63,6.5,36
64,6.5,35
65,6.5,36
66,6.0,43
67,5.5,42
68,5.75,33
69,5.875,35
70,5.5,34
71,6.5,41
72,5.0,39
73,5.75,36
74,6.5,30
75,5.5,39
76,5.75,30
77,4.125,32
78,5.625,31
79,6.625,33
80,4.75,32
81,8.125,31
82,6.375,31
83,7.124999999999999,38
84,6.5,26
85,5.0,30
86,4.875,28
87,6.625,32
88,5.5,31
89,5.625,32
90,5.125,39
91,6.75,36
92,5.625,32
93,6.375,31
94,5.625,33
95,6.25,29
96,5.5,30
97,7.124999999999999,29
98,5.625,29
99,4.875,27
100,6.0,30
101,6.0,34
102,5.875,30
103,6.5,37
104,5.5,30
105,5.25,29
106,4.625,29
107,6.125,28
108,6.25,25
109,6.0,24
110,6.625,22
111,8.375,29
112,6.25,29
113,6.375,24
114,7.000000000000001,27
115,5.75,28
116,6.875000000000001,29
117,5.875,27
118,7.124999999999999,28
119,6.25,27
120,5.5,26
121,6.125,32
122,6.625,30
123,7.000000000000001,27
124,6.25,25
125,6.125,28
126,4.5,27
127,7.124999999999999,26
128,5.875,31
129,6.375,27
130,6.25,27
131,7.625,27
132,6.25,26
133,7.375,32
134,6.375,20
135,5.875,20
136,6.0,26
137,6.375,23
138,6.375,22
139,6.5,23
140,6.75,24
141,8.0,24
142,5.625,24
143,6.875000000000001,22
144,5.5,20
145,7.375,27
146,5.375,28
147,6.25,22
148,7.000000000000001,21
149,7.75,30
150,8.0,26
151,8.625,21
152,9.25,28
153,6.5,30
154,7.75,24
155,8.125,25
156,9.25,24
157,8.25,28
158,7.75,25
159,9.5,24
160,8.75,24
161,7.124999999999999,31
162,7.375,25
163,6.125,22
164,8.0,23
165,6.875000000000001,29
166,7.875,30
167,6.375,29
168,7.124999999999999,27
169,6.5,27
170,7.375,22
171,6.5,23
172,8.0,25
173,7.375,25
174,7.5,21
175,8.0,16
176,9.375,21
177,8.125,17
178,12.875,18
179,10.125,20
180,7.75,31
181,8.625,25
182,6.125,18
183,7.249999999999999,16
184,8.375,21
185,9.875,23
186,7.000000000000001,28
187,8.125,20
188,8.75,21
189,7.5,27
190,8.375,28
191,9.0,23
192,11.0,19
193,7.625,25
194,10.5,17
195,8.625,18
196,9.25,18
197,7.375,24
198,8.875,29
199,9.75,22
200,8.75,25
201,9.75,29
202,10.25,29
203,9.5,26
204,7.375,22
205,10.125,24
206,8.625,24
207,9.75,26
208,8.875,20
209,9.75,19
210,7.375,14
211,9.25,21
212,8.75,19
213,10.5,22
214,8.5,18
215,9.875,19
216,10.25,15
217,9.0,19
218,10.875,21
219,8.625,22
220,9.875,20
221,9.875,20
222,8.25,20
223,11.375,20
224,10.5,22
225,11.0,20
226,8.875,20
227,7.625,21
228,7.875,19
229,9.25,19
230,9.5,23
231,9.5,27
232,8.375,24
233,8.625,22
234,9.75,19
235,12.125,24
236,9.375,22
237,8.75,20
238,10.125,16
239,10.125,19
240,10.125,27
241,11.0,19
242,10.5,18
243,10.625,17
244,9.5,21
245,10.0,18
246,9.125,19
247,8.375,22
248,10.375,21
249,10.0,23
250,9.625,24
251,11.25,18
252,8.625,22
253,10.5,24
254,9.25,19
255,9.625,26
256,10.375,24
257,9.625,22
258,9.375,21
259,10.0,24
260,9.25,27
261,9.375,24
262,10.5,22
263,10.875,21
264,12.875,26
265,9.5,21
266,9.875,24
267,9.625,26
268,11.25,24
269,11.375,25
270,11.625,21
271,9.0,23
272,10.625,23
273,13.125,20
274,9.25,25
275,7.75,19
276,9.5,22
277,10.375,24
278,9.375,24
279,10.0,16
280,11.625,13
281,10.125,19
282,12.25,20
283,12.875,21
284,10.5,21
285,11.25,14
286,10.875,24
287,9.875,20
288,9.75,17
289,11.875,23
290,11.625,19
291,11.0,22
292,11.5,24
293,12.25,25
294,12.0,19
295,10.625,24
296,10.25,22
297,11.875,21
298,8.875,21
299,11.875,25
