Creature ID,Genome
0,"('HO', 5, 'Res', -0.07125217884326385);('HO', 2, 'Mfd', -0.05341727568966137);('IH', 'LPF', 0, 0.5379351404428978);('HO', 1, 'MX', 0.9704658376627966);('IH', 'BDy', 3, -0.9190540586196805);('IH', 'Pfd', 1, -0.25887559982211017);('IH', 'Sg', 5, -0.7765693530529227);('IH', 'Sg', 0, 0.6783356255949633);('IH', 'Sg', 5, 0.9508768590877443);('HO', 6, 'MX', 0.5651752870276583);('HO', 2, 'MRL', -0.0988117201829124);('IH', 'Sfd', 5, 0.864882971570951);('IH', 'LPF', 6, 0.25255489692030997);('HO', 6, 'SG', -0.7170195889621649);('IH', 'Rnd', 6, 0.7099579469814616)"
1,"('IH', 'Pfd', 1, -0.7321570614118147);('IH', 'Sg', 5, 0.9158027972509999);('HO', 3, 'MRL', 0.8929789026062016);('HO', 6, 'Kill', 0.8118490394468934);('HO', 6, 'MY', 0.05248783144252611);('HO', 6, 'MRL', 0.8496850341492241);('IH', 'Blr', 3, -0.19470006070380452);('IH', 'Blr', 0, 0.6501618068207828);('IH', 'Ly', 1, 0.8127238195059985);('IH', 'Blr', 0, -0.07108890806712753);('HO', 6, 'OSC', -0.8995111934224334);('IH', 'BDy', 6, -0.2987321779606329);('HO', 4, 'Res', -0.18674201303106042);('IH', 'Sfd', 1, -0.11632756714732517);('HO', 1, 'SG', -0.3096455223133976)"
2,"('IH', 'Rnd', 3, -0.3986154415416099);('IH', 'Osc', 6, -0.7714278429031296);('HO', 3, 'Mfd', 0.32556692372622686);('IH', 'Plr', 3, -0.7922921042183377);('IH', 'LPF', 2, 0.7125988213827361);('IH', 'Sg', 6, -0.2224947473270935);('IH', 'Osc', 5, -0.5379160499650164);('IH', 'Blr', 6, -0.5978747910039774);('HO', 5, 'Mrv', 0.5358555344016209);('HO', 2, 'Res', -0.2399102202992276);('HO', 5, 'Mrv', -0.7409258214723302);('IH', 'Pfd', 4, 0.9381066480228164);('HO', 0, 'MX', 0.39913027925436984);('HO', 5, 'MY', 0.981309331256389);('HO', 3, 'MY', 0.8982260984331663)"
3,"('HO', 4, 'Mrn', 0.8329111627396462);('HO', 3, 'Res', -0.7331630393113036);('HO', 6, 'MRL', -0.9408739045368373);('IH', 'BDy', 3, 0.39008178774734614);('HO', 0, 'MY', 0.18450183755726424);('HO', 6, 'MY', 0.15880097909039392);('HO', 4, 'Res', 0.2626121487063562);('HO', 0, 'Mfd', 0.9150540921374424);('HO', 6, 'MY', 0.36116365996073396);('HO', 0, 'MY', 0.2708768374592543);('HO', 6, 'LPD', -0.24029903386806506);('IH', 'LMx', 5, -0.3044299760608138);('HO', 6, 'OSC', 0.0011393504991463743);('HO', 5, 'MRL', 0.39233248757037953);('HO', 6, 'MX', -0.23138519839026017)"
4,"('IH', 'Age', 6, 0.6774602158007283);('HO', 2, 'Kill', 0.07657976359818797);('IH', 'Gen', 3, -0.557113762178967);('IH', 'LBf', 4, 0.9284210621609239);('IH', 'Bfd', 3, 0.9762730113874585);('IH', 'Plr', 4, 0.9761406234506071);('HO', 3, 'Kill', -0.9661249899974573);('HO', 5, 'MRL', -0.501451505400252);('IH', 'LPF', 2, 0.3547213908941844);('HO', 0, 'LPD', -0.9188060236014108);('HO', 1, 'Mrn', 0.7723191491737544);('HO', 4, 'Kill', -0.503517243264916);('HO', 6, 'Mfd', 0.9923278356946228);('HO', 2, 'MY', 0.25363901843479186);('HO', 1, 'MX', -0.18773183253570513)"
5,"('IH', 'Rnd', 0, 0.740640387245771);('IH', 'LBf', 0, 0.8916048737917242);('IH', 'LBf', 2, -0.3603642020866549);('HO', 2, 'MY', -0.9249849860456747);('HO', 4, 'OSC', 0.4098056154386098);('IH', 'Sg', 3, -0.006253089023035674);('HO', 4, 'MY', -0.33010139389409976);('HO', 2, 'LPD', -0.7230480155270511);('IH', 'Lx', 5, -0.028630050477061575);('IH', 'Lx', 3, 0.33807920441490724);('HO', 0, 'Kill', 0.32080832321648245);('IH', 'Pop', 1, 0.81358877663756);('HO', 3, 'MY', -0.7363210319882512);('HO', 0, 'Res', 0.5693921235143486);('IH', 'Ly', 2, 0.08536402768605722)"
6,"('IH', 'Sir', 0, 0.42990127114371113);('HO', 2, 'SG', -0.7136723572346262);('HO', 6, 'MX', 0.9508026714022606);('HO', 4, 'LPD', -0.31495297049031046);('IH', 'LMx', 2, 0.1136479757799318);('HO', 2, 'OSC', 0.544224230229873);('HO', 2, 'LPD', -0.7687110391676426);('HO', 1, 'MRL', -0.04048607942666149);('HO', 0, 'LPD', -0.5187129578744252);('HO', 3, 'LPD', 0.09075708072007105);('HO', 4, 'LPD', 0.6658940629501982);('IH', 'Sfd', 5, -0.780286111560941);('HO', 4, 'MY', 0.9706858635999869);('HO', 2, 'MX', -0.08267445747107294);('HO', 1, 'OSC', -0.06548368618325551)"
7,"('IH', 'BDy', 3, -0.5381704202063804);('HO', 0, 'MY', 0.6431857970104156);('IH', 'LMy', 5, -0.17449652524148518);('IH', 'LMx', 1, 0.5249279320469808);('HO', 3, 'SG', 0.8873989313379471);('HO', 1, 'Mfd', 0.12775567533830245);('HO', 6, 'OSC', 0.6223177025660842);('HO', 5, 'Kill', -0.8870214861696679);('HO', 4, 'Mfd', -0.542114179761966);('HO', 1, 'Res', -0.5071861719077149);('HO', 2, 'Kill', 0.6866847849181577);('HO', 2, 'SG', -0.23219460987445295);('HO', 2, 'MRL', -0.787608153359497);('IH', 'Sir', 2, 0.5169112161574925);('HO', 1, 'LPD', -0.854867729570763)"
8,"('HO', 5, 'SG', -0.29801804091099093);('HO', 4, 'SG', -0.5082415523096457);('HO', 2, 'Mrn', -0.6711355086403872);('IH', 'Sir', 2, -0.8492740936828951);('HO', 5, 'Res', 0.3660836146251889);('HO', 0, 'SG', -0.9980151752898303);('HO', 5, 'LPD', 0.489237772438359);('HO', 1, 'Mrv', 0.5011640740852021);('IH', 'LMx', 3, -0.7149443296237954);('IH', 'Blr', 4, -0.7570151161090355);('HO', 5, 'MY', -0.14721826933362436);('IH', 'Bfd', 4, -0.08399793717126891);('IH', 'Ly', 0, -0.862871489037714);('HO', 6, 'Res', -0.2939575680110298);('HO', 3, 'MRL', -0.17868753578668062)"
9,"('HO', 4, 'Mrv', -0.8577897782063957);('IH', 'Ly', 2, -0.703803558737788);('HO', 0, 'OSC', -0.22372698426356807);('HO', 1, 'OSC', 0.21980208598756024);('HO', 4, 'LPD', 0.36588698648781914);('HO', 3, 'MY', -0.6109525905567026);('IH', 'Bfd', 2, 0.9220250976174567);('IH', 'LBf', 0, -0.9704748852640444);('HO', 5, 'MX', 0.28818679731233066);('IH', 'Sfd', 0, 0.9773693201134075);('HO', 1, 'SG', -0.7237310796746892);('IH', 'LMx', 5, -0.508406249998264);('HO', 6, 'Res', 0.9943923236376293);('IH', 'Sg', 2, 0.4177232001865365);('HO', 4, 'MY', 0.8302393089614333)"
10,"('IH', 'Age', 3, 0.1563302455547524);('IH', 'Sfd', 3, -0.23241079874481985);('IH', 'Pop', 6, 0.5894144223299131);('IH', 'BD', 5, -0.681994451572981);('HO', 5, 'Mfd', -0.11631512853034476);('IH', 'Blr', 1, -0.2251202969394206);('IH', 'Age', 1, -0.3508610912766341);('IH', 'LMx', 5, -0.2280608817420624);('HO', 5, 'OSC', -0.07943937858267125);('IH', 'BD', 3, 0.6879339232926913);('HO', 1, 'SG', 0.7512339543393143);('HO', 5, 'MRL', 0.5956709265747719);('HO', 1, 'Mfd', -0.2525673787590976);('HO', 2, 'Kill', -0.7195560298063395);('IH', 'Age', 0, 0.5200246590118716)"
11,"('HO', 0, 'Mrv', -0.9743125160869668);('HO', 6, 'MRL', 0.5270879000392155);('HO', 2, 'MY', 0.8239328099628762);('HO', 6, 'MRL', 0.9639175422323392);('IH', 'Osc', 2, 0.7062432159677066);('IH', 'LMx', 2, 0.6287130249647799);('IH', 'Gen', 6, -0.4025030719244096);('IH', 'Gen', 6, 0.0014938339793062472);('IH', 'BDx', 4, 0.04382370621464826);('HO', 1, 'SG', 0.22246469804046942);('HO', 3, 'Mrn', -0.7483346461478393);('IH', 'Gen', 0, 0.043580800627912364);('HO', 6, 'MRL', -0.4192539847959771);('IH', 'BD', 0, -0.006359547134056953);('IH', 'Plr', 2, 0.014716494319431783)"
12,"('IH', 'Plr', 5, 0.2953388328701869);('IH', 'BDy', 3, -0.02719694591111277);('HO', 6, 'LPD', 0.2070197026763969);('HO', 0, 'Kill', -0.3743854078588673);('HO', 4, 'MY', -0.7530461706311042);('HO', 2, 'MY', 0.47448311481273486);('HO', 2, 'Kill', -0.6100946688958042);('HO', 4, 'Res', -0.47202964393037705);('HO', 0, 'Mrv', 0.3577782631692352);('HO', 6, 'Res', 0.2327937831701805);('HO', 4, 'MY', 0.7177597717380189);('HO', 2, 'OSC', -0.2787816550776576);('IH', 'Osc', 6, 0.565003797750053);('HO', 2, 'MX', -0.07758127584954977);('HO', 1, 'LPD', 0.23892291478801053)"
13,"('IH', 'Rnd', 3, -0.7303721525400908);('IH', 'LMy', 1, -0.07710974676411086);('HO', 4, 'LPD', 0.7510789340213624);('HO', 6, 'Mrn', 0.6895672951611191);('HO', 3, 'Mrn', 0.8749006624492042);('HO', 3, 'MY', 0.836370096337901);('HO', 0, 'MX', 0.07995789806486187);('IH', 'LMy', 2, -0.6781751484582088);('IH', 'LPF', 2, 0.7974436612768558);('IH', 'Gen', 2, -0.5323167273295446);('IH', 'LMy', 3, -0.3670716924414581);('HO', 0, 'LPD', 0.6988513211678173);('HO', 6, 'Mrn', -0.25800024424581314);('HO', 5, 'Mrn', -0.29370942413393686);('IH', 'Plr', 1, 0.5363415849085336)"
14,"('HO', 0, 'Res', 0.33483295871486485);('HO', 0, 'OSC', -0.8839224942262482);('HO', 4, 'MX', 0.6340086553568309);('IH', 'Gen', 2, -0.749436188481112);('HO', 2, 'Res', -0.7339123717935314);('HO', 2, 'SG', 0.6574976145849738);('IH', 'Blr', 5, 0.16091156305524668);('IH', 'BDy', 0, -0.922433557341104);('HO', 4, 'Kill', 0.11479262551945224);('IH', 'Sfd', 0, 0.7773949705214904);('HO', 3, 'MX', -0.25987476154549305);('IH', 'LBf', 0, -0.8847506216869347);('HO', 2, 'Mrv', 0.35040426137894265);('IH', 'Blr', 2, -0.6799254613702068);('HO', 6, 'MY', 0.32762505186712443)"
15,"('IH', 'Rnd', 1, -0.30936263936797914);('HO', 1, 'MY', 0.6039377126115426);('IH', 'Bfd', 1, -0.17287474011249482);('HO', 3, 'MRL', 0.4012729795370913);('IH', 'LMy', 3, -0.531826917501556);('HO', 2, 'MRL', 0.9052388888256584);('IH', 'Plr', 6, -0.3554005553206323);('IH', 'Bfd', 6, -0.8799185104450846);('HO', 2, 'MY', -0.07634089951527656);('HO', 0, 'LPD', 0.9631227965963454);('HO', 2, 'OSC', 0.5304558857676789);('HO', 1, 'Kill', -0.8044959937027378);('IH', 'Ly', 0, -0.7344618376625591);('HO', 2, 'Kill', 0.4330636619730357);('HO', 0, 'Res', -0.07251013635949266)"
16,"('HO', 0, 'SG', -0.8615685261060293);('IH', 'BDx', 3, -0.2906090531341097);('IH', 'Sir', 1, 0.7908713804572951);('HO', 2, 'Res', 0.825433225535847);('HO', 3, 'OSC', 0.06477434944170235);('IH', 'Rnd', 6, 0.5194810304645476);('IH', 'Plr', 6, -0.0675233425939703);('HO', 2, 'OSC', 0.17510923913872323);('HO', 2, 'MRL', -0.9116745342352268);('IH', 'Lx', 5, 0.952007013386823);('IH', 'Sg', 1, -0.8853409569819501);('HO', 5, 'Mrv', 0.974654433051209);('HO', 3, 'LPD', -0.32842290178275046);('HO', 6, 'Kill', 0.27257469449842775);('HO', 0, 'MRL', 0.9159073474755368)"
17,"('IH', 'Bfd', 5, -0.32012403953464696);('IH', 'Sir', 3, 0.7587679065066222);('IH', 'Plr', 0, -0.16855354651036802);('IH', 'BDx', 6, 0.4791450816613456);('HO', 1, 'Res', 0.9249752840797758);('HO', 2, 'MRL', -0.25779794807046175);('HO', 5, 'SG', 0.6040941019263133);('HO', 4, 'SG', -0.3895694101638314);('HO', 0, 'Mrn', -0.03265188572200861);('HO', 2, 'Res', 0.1390969068557404);('IH', 'Sir', 6, -0.6258125725896746);('HO', 0, 'Mrn', 0.24503512498653346);('IH', 'Gen', 4, -0.5844272294684165);('IH', 'Age', 6, -0.7227221574776779);('HO', 0, 'SG', 0.4410511794156051)"
18,"('IH', 'Bfd', 4, 0.37437145844658914);('HO', 2, 'Mfd', -0.141044404265402);('HO', 1, 'Kill', -0.7360659842921251);('HO', 3, 'Mfd', -0.2380703625467928);('HO', 1, 'LPD', 0.2535607266558513);('HO', 5, 'OSC', 0.3186387214449795);('HO', 6, 'Mrn', -0.5013002020782731);('HO', 5, 'MRL', 0.17367964031370065);('HO', 3, 'Res', -0.9905489326479697);('IH', 'Blr', 6, 0.9036282042575268);('HO', 1, 'MRL', -0.6056636865002938);('HO', 5, 'MRL', 0.2286370860224507);('IH', 'Rnd', 2, 0.22929437734431057);('HO', 2, 'Mrv', -0.01768949501492778);('IH', 'Osc', 2, 0.8274378572523229)"
19,"('IH', 'LMy', 0, -0.8245943060386145);('IH', 'Osc', 5, 0.4204693993122821);('IH', 'LBf', 0, -0.2241568572183701);('HO', 1, 'OSC', 0.8147443587756715);('IH', 'Pop', 2, -0.6499020322035198);('HO', 5, 'Mfd', -0.22301644352124517);('IH', 'LMx', 2, 0.8059925682965179);('HO', 1, 'Res', -0.5862706483038636);('HO', 6, 'Mrn', 0.6103933092522811);('IH', 'Age', 5, 0.03459047421303607);('IH', 'Ly', 0, 0.5963200450995156);('HO', 3, 'SG', -0.718986260390087);('IH', 'LBf', 5, 0.7891100858882909);('HO', 1, 'MY', 0.08354053134048889);('IH', 'BDx', 6, 0.12152530716937782)"
