Creature ID,Genome
0,"('IH', 'BDx', 1, 0.46917493934752286);('HO', 4, 'OSC', np.float64(0.3867690345198792));('IH', 'Blr', 1, -0.0775942138705692);('HO', 2, 'Res', -0.5002432130371102);('IH', 'BDx', 4, 0.0959161078720725);('IH', 'Sir', 6, np.float64(1.0));('IH', 'Plr', 6, 0.756761931049418);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'LPF', 4, 0.9346181709242747);('HO', 2, 'Res', -0.5002432130371102);('HO', 2, 'LPD', -0.539351102372962);('IH', 'BDx', 1, 0.46917493934752286);('IH', 'BDx', 4, 0.3460578759364996);('IH', 'Rnd', 2, -0.478177664739595)"
1,"('HO', 4, 'OSC', np.float64(0.4240686170257719));('IH', 'Rnd', 2, -0.478177664739595);('HO', 4, 'OSC', 0.4918337715539085);('IH', 'Sg', 4, 0.5497233032688309);('IH', 'Rnd', 1, np.float64(0.9877961312110315));('HO', 2, 'Res', -0.5002432130371102);('IH', 'Blr', 1, -0.11624724521436258);('IH', 'LBf', 1, -0.01807668438655341);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Plr', 6, 0.756761931049418);('IH', 'BDx', 4, 0.3460578759364996);('HO', 4, 'OSC', np.float64(0.3867690345198792));('IH', 'Sg', 4, 0.5497233032688309);('IH', 'Sfd', 6, 0.45963388670651484);('IH', 'Sir', 6, np.float64(1.0))"
2,"('IH', 'Bfd', 0, -0.3315953313125095);('IH', 'Lx', 6, -0.8386922527806917);('IH', 'Gen', 4, 0.46756891797161626);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'LPF', 4, np.float64(-0.861683043361167));('IH', 'Blr', 1, -0.11624724521436258);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'BDx', 1, 0.46917493934752286);('IH', 'Rnd', 2, -0.478177664739595);('HO', 2, 'Res', -0.5002432130371102);('IH', 'Plr', 6, 0.756761931049418);('IH', 'Sir', 6, np.float64(1.0));('HO', 2, 'Res', -0.5002432130371102);('HO', 4, 'OSC', 0.4918337715539085)"
3,"('IH', 'LPF', 4, 0.9346181709242747);('IH', 'Plr', 6, 0.756761931049418);('IH', 'Rnd', 1, 0.9585204672403618);('HO', 2, 'Res', -0.5002432130371102);('IH', 'Sfd', 3, -0.8747807018664757);('HO', 4, 'Mrn', -0.9164905112010036);('HO', 2, 'Res', -0.5002432130371102);('IH', 'Sg', 4, 0.5497233032688309);('IH', 'LPF', 4, np.float64(-0.861683043361167));('IH', 'Sfd', 6, 0.45963388670651484);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Sg', 4, 0.5497233032688309);('IH', 'BDx', 4, 0.3460578759364996);('HO', 2, 'LPD', -0.539351102372962)"
4,"('IH', 'Rnd', 1, 0.9585204672403618);('HO', 2, 'LPD', -0.539351102372962);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Plr', 6, 0.756761931049418);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Rnd', 1, 0.9585204672403618);('HO', 4, 'OSC', 0.4918337715539085);('IH', 'Bfd', 0, -0.3315953313125095);('IH', 'Pop', 5, 0.0914462803522067);('IH', 'Sg', 4, 0.5497233032688309);('HO', 2, 'LPD', -0.539351102372962);('HO', 2, 'Res', -0.5002432130371102);('IH', 'Blr', 1, -0.11624724521436258);('IH', 'Sg', 4, -0.7485304522757494);('IH', 'Lx', 6, -0.8386922527806917)"
5,"('IH', 'Rnd', 2, -0.478177664739595);('IH', 'Sg', 4, 0.5497233032688309);('IH', 'Blr', 1, -0.0775942138705692);('HO', 2, 'LPD', -0.539351102372962);('IH', 'BDx', 1, 0.46917493934752286);('IH', 'Sir', 6, np.float64(1.0));('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Plr', 6, 0.756761931049418);('IH', 'Lx', 6, -0.8386922527806917);('IH', 'Rnd', 2, -0.478177664739595);('IH', 'Blr', 1, -0.0775942138705692);('HO', 4, 'OSC', np.float64(0.560663824117742));('IH', 'BDx', 4, 0.3460578759364996);('IH', 'Rnd', 1, 0.9585204672403618);('HO', 4, 'OSC', np.float64(0.560663824117742))"
6,"('IH', 'LMx', 1, -0.5334067678357901);('IH', 'Plr', 6, 0.756761931049418);('IH', 'Pop', 5, 0.0914462803522067);('IH', 'Pop', 5, 0.0914462803522067);('IH', 'Lx', 2, 0.9913640323840431);('IH', 'Plr', 6, 0.756761931049418);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Pop', 5, 0.0914462803522067);('IH', 'BDx', 1, np.float64(0.5504861602434887));('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Bfd', 0, -0.3315953313125095);('IH', 'LMy', 1, 0.47923914526048383);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'BDx', 1, 0.46917493934752286);('IH', 'Blr', 1, -0.0775942138705692)"
7,"('HO', 2, 'Res', -0.5002432130371102);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'BDx', 4, 0.0959161078720725);('IH', 'LPF', 4, np.float64(0.9270033120503325));('IH', 'Plr', 6, 0.756761931049418);('IH', 'Sg', 4, 0.5497233032688309);('IH', 'BDx', 4, 0.3460578759364996);('IH', 'LMx', 6, np.float64(-0.7637075030540077));('IH', 'LPF', 4, np.float64(-0.8745376175721385));('IH', 'BDx', 1, 0.46917493934752286);('IH', 'LMy', 1, np.float64(0.49961612923053456));('HO', 4, 'OSC', np.float64(0.560663824117742));('IH', 'Bfd', 0, -0.3315953313125095);('IH', 'Rnd', 1, 0.9585204672403618)"
8,"('IH', 'Blr', 1, -0.11624724521436258);('IH', 'LMx', 6, -0.8891278920731667);('IH', 'Rnd', 2, -0.478177664739595);('IH', 'Bfd', 0, -0.3315953313125095);('HO', 4, 'OSC', np.float64(0.560663824117742));('HO', 2, 'LPD', -0.539351102372962);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'LMy', 1, np.float64(0.49961612923053456));('IH', 'LPF', 4, 0.9346181709242747);('HO', 4, 'OSC', np.float64(0.560663824117742));('HO', 4, 'OSC', np.float64(0.560663824117742));('IH', 'Plr', 6, 0.756761931049418);('IH', 'Plr', 6, 0.756761931049418);('IH', 'Sg', 4, np.float64(-0.6941213168899721));('HO', 2, 'Res', -0.5002432130371102)"
9,"('IH', 'Gen', 4, 0.46756891797161626);('IH', 'LPF', 4, np.float64(-0.861683043361167));('IH', 'Rnd', 1, 0.9585204672403618);('HO', 2, 'Res', -0.5002432130371102);('IH', 'Plr', 6, 0.756761931049418);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Sg', 4, 0.5497233032688309);('HO', 2, 'Res', -0.5002432130371102);('HO', 2, 'Res', -0.5002432130371102);('IH', 'Sg', 4, 0.5497233032688309);('IH', 'LPF', 4, np.float64(0.9270033120503325));('IH', 'Plr', 6, 0.756761931049418);('IH', 'LPF', 4, np.float64(-0.861683043361167));('IH', 'Blr', 1, -0.0775942138705692);('HO', 4, 'OSC', np.float64(0.560663824117742))"
