Creature ID,Genome
0,"('HO', 4, 'Mfd', -0.08450751336120921);('IH', 'Sfd', 4, -0.8235921791622178);('IH', 'BDx', 4, np.float64(1.0));('IH', 'Sfd', 4, -0.8235921791622178);('IH', 'Bfd', 3, 0.18135821002145236);('IH', 'Sir', 1, 0.1130223711751559);('HO', 0, 'Mfd', -0.48056183758896287);('IH', 'Osc', 3, -0.14902831962437157);('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('HO', 0, 'Mfd', -0.5317982249516042);('IH', 'BD', 3, 0.7662865045214753);('IH', 'Sir', 1, 0.1130223711751559);('HO', 2, 'Mfd', 0.4706939960036298);('IH', 'Pfd', 4, -0.840105487897445);('IH', 'Pfd', 6, 0.8781835049890583)"
1,"('IH', 'BD', 1, 0.3255110212965773);('HO', 3, 'Mfd', -0.9445790796557088);('HO', 2, 'Mfd', -0.2637875244401304);('HO', 2, 'Mfd', -0.2637875244401304);('IH', 'BDx', 4, 0.9503512111206192);('HO', 0, 'Mrn', np.float64(0.16626483312510817));('IH', 'Sfd', 5, -0.3149420598455259);('IH', 'BDx', 3, np.float64(0.8336712932311756));('IH', 'BDx', 4, 0.9503512111206192);('IH', 'Pfd', 6, 0.8781835049890583);('HO', 0, 'Mfd', -0.48056183758896287);('IH', 'Sg', 5, np.float64(0.008860011944484103));('HO', 1, 'Mfd', -0.29473661658821415);('HO', 2, 'Mfd', -0.2637875244401304);('IH', 'Bfd', 3, 0.18135821002145236)"
2,"('IH', 'Ly', 3, 0.6501815100249466);('IH', 'Sir', 4, -0.637834707151796);('HO', 1, 'Mfd', -0.29473661658821415);('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('HO', 1, 'Mfd', -0.21834678144256414);('HO', 0, 'Mfd', -0.5317982249516042);('IH', 'Sg', 5, np.float64(0.008860011944484103));('HO', 2, 'Mfd', -0.2637875244401304);('HO', 2, 'Mfd', 0.9732052632694248);('IH', 'BDx', 4, 0.9503512111206192);('IH', 'BDx', 4, np.float64(0.960978473552071));('HO', 3, 'Mrn', -0.556282511217697);('IH', 'Rnd', 0, np.float64(-0.49586469298537755));('HO', 4, 'Mfd', 0.8103162165445568);('HO', 0, 'Mfd', -0.48056183758896287)"
3,"('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('IH', 'LBf', 1, -0.2458765117513797);('HO', 4, 'Mfd', np.float64(0.9058607656843121));('HO', 0, 'Mfd', -0.47778896992689157);('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'Sfd', 4, -0.8235921791622178);('HO', 3, 'Mrn', -0.556282511217697);('HO', 4, 'Mfd', 0.8103162165445568);('HO', 3, 'Mfd', -0.9445790796557088);('HO', 3, 'Mrn', -0.556282511217697);('HO', 2, 'Mfd', 0.9732052632694248);('HO', 4, 'Mfd', 0.6450739821489437);('HO', 2, 'Mfd', 0.9732052632694248);('HO', 0, 'Mfd', np.float64(-0.6372503949746472));('HO', 0, 'Mfd', -0.47778896992689157)"
4,"('IH', 'BDx', 4, 0.9503512111206192);('HO', 2, 'Mfd', -0.2637875244401304);('IH', 'BDx', 4, np.float64(1.0));('IH', 'Sg', 5, np.float64(0.008860011944484103));('HO', 0, 'Mfd', np.float64(-0.3735766825554951));('HO', 4, 'Mfd', 0.40998472998213975);('IH', 'Plr', 0, -0.9286876736202359);('IH', 'Pfd', 6, 0.8781835049890583);('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('IH', 'BD', 1, 0.3255110212965773);('IH', 'LPF', 3, 0.514074902224009);('HO', 0, 'Mfd', -0.47778896992689157);('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'Pop', 6, -0.22891698299362684);('IH', 'BDx', 4, 0.9503512111206192)"
5,"('IH', 'BDx', 4, 0.9503512111206192);('IH', 'Rnd', 4, -0.11062073256176186);('IH', 'BDx', 4, 0.9503512111206192);('IH', 'LBf', 1, -0.2458765117513797);('HO', 3, 'Mfd', -0.9445790796557088);('HO', 1, 'Mfd', -0.29473661658821415);('IH', 'Sg', 5, np.float64(0.008860011944484103));('HO', 4, 'Mfd', 0.6450739821489437);('HO', 1, 'Mfd', -0.29473661658821415);('IH', 'BD', 1, 0.3255110212965773);('HO', 4, 'Mfd', 0.8103162165445568);('HO', 0, 'Mfd', -0.5317982249516042);('IH', 'BDy', 5, -0.7107084609002312);('HO', 4, 'Mfd', 0.6450739821489437);('IH', 'Pop', 4, np.float64(0.4756746768760105))"
6,"('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('IH', 'BDx', 4, 0.9503512111206192);('IH', 'Sir', 4, -0.637834707151796);('IH', 'BD', 3, -0.19803359055135306);('HO', 4, 'Mfd', 0.8103162165445568);('HO', 0, 'Mfd', -0.48056183758896287);('HO', 1, 'Mfd', 0.6031295353721156);('IH', 'BDx', 0, np.float64(-0.43026974795239475));('HO', 0, 'Mfd', -0.5317982249516042);('IH', 'LPF', 3, 0.514074902224009);('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'Plr', 4, 0.14301530103984605);('HO', 1, 'Mfd', -0.21834678144256414);('HO', 0, 'Mfd', -0.48056183758896287);('IH', 'Pop', 4, np.float64(0.4756746768760105))"
7,"('IH', 'Pop', 6, -0.22891698299362684);('IH', 'LPF', 3, 0.514074902224009);('HO', 3, 'Mfd', -0.9445790796557088);('IH', 'BDx', 4, 0.47681123793342284);('HO', 1, 'Mfd', -0.29473661658821415);('IH', 'BDx', 4, 0.9503512111206192);('IH', 'BDx', 4, 0.9503512111206192);('IH', 'Pfd', 6, 0.8781835049890583);('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('IH', 'Sir', 4, -0.637834707151796);('IH', 'BD', 1, 0.3255110212965773);('IH', 'BDx', 4, 0.9503512111206192);('HO', 1, 'Mfd', 0.6031295353721156);('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'Pfd', 4, -0.8373428503111018)"
8,"('HO', 4, 'Mfd', 0.6450739821489437);('IH', 'BD', 3, 0.7662865045214753);('IH', 'Pop', 1, np.float64(-0.10476476119756559));('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('IH', 'Sfd', 4, np.float64(-0.8618552746906627));('IH', 'Pop', 2, 0.07899143578695345);('HO', 4, 'Mfd', np.float64(0.6903684464318172));('IH', 'BDx', 4, 0.9503512111206192);('HO', 0, 'Mfd', np.float64(-0.6372503949746472));('IH', 'BDx', 3, np.float64(0.8336712932311756));('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('IH', 'Age', 5, 0.327616076069114);('IH', 'BD', 2, 0.26129029027424333);('IH', 'BDx', 0, -0.30870655124704394)"
9,"('HO', 3, 'Mfd', -0.9445790796557088);('IH', 'BDx', 4, 0.9503512111206192);('HO', 4, 'Mfd', 0.6450739821489437);('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('IH', 'BD', 0, 0.1148929159335792);('HO', 4, 'Mfd', np.float64(0.7763702330482258));('IH', 'Sir', 4, -0.637834707151796);('IH', 'Plr', 0, -0.9286876736202359);('IH', 'Pop', 2, 0.07899143578695345);('HO', 4, 'Mfd', 0.6450739821489437);('IH', 'Sfd', 4, -0.8235921791622178);('IH', 'BDx', 4, 0.9503512111206192);('IH', 'BDx', 0, -0.30870655124704394);('HO', 4, 'Mfd', 0.40998472998213975);('IH', 'Sir', 4, -0.637834707151796)"
