Creature ID,Genome
0,"(IH,Ly,3,-0.2996142744647008);(IH,Pfd,4,0.7555179840404758);(HO,6,Mfd,-0.47077106208486863);(HO,2,Mrn,0.13487715098355801);(HO,0,Mrn,0.4486083031361905);(HO,0,Mrn,0.4486083031361905);(HO,1,MX,0.1524784780689079);(HO,1,Mfd,0.9101706415890596);(IH,BDy,3,-0.11121853935233328);(HO,1,Mfd,0.28698370891818525);(IH,Sir,0,0.7202183500067245);(IH,Bfd,5,-0.18115791134053705);(HO,1,Mfd,0.28698370891818525);(HO,4,Mfd,-0.7864354425088238);(IH,Sir,0,0.500102444447162)"
1,"(IH,Pfd,6,-0.591029457874569);(IH,Sg,1,-0.4723208793145215);(HO,0,SG,0.933949593826272);(IH,Rnd,5,0.8013276570557162);(IH,Pfd,3,-0.43817042535365935);(IH,Plr,0,-0.8464548150251705);(HO,0,Kill,-0.9181013649304006);(HO,5,Mfd,-0.24862246264458743);(HO,1,Mrv,-0.20371451219220083);(IH,BDy,1,0.760544161615593);(HO,1,Mfd,0.9101706415890596);(IH,Sir,0,0.13663082408793703);(HO,6,OSC,-0.9374424120072766);(HO,5,Mrn,-0.7121302942399472);(IH,Bfd,5,-0.18115791134053705)"
2,"(IH,LMx,4,0.3928323967334808);(IH,Pop,6,0.35281623884570146);(IH,Sfd,2,0.1941039335078094);(HO,5,Mfd,-0.7378489435381976);(IH,Bfd,4,-0.567684283203459);(IH,Gen,6,0.852262791915372);(IH,Sir,4,0.0267987436883228);(IH,LBf,5,-0.7609503361381309);(HO,3,MX,0.16721209477049293);(HO,6,Kill,-0.7536061431537047);(HO,6,MX,-0.9589081410108002);(HO,0,Kill,0.5478656106680764);(HO,5,Mfd,-0.3453516464502937);(HO,6,Kill,0.37795000554691915);(HO,0,OSC,-0.3729647630318116)"
3,"(IH,Sfd,2,-0.19470789223616758);(HO,5,SG,0.3909607137070745);(HO,3,MX,0.18867312520209434);(IH,LMx,6,-0.2815543009717445);(HO,1,LPD,-0.7607397627963286);(HO,1,Mfd,0.361997586295399);(HO,3,Mfd,-0.9576200421618297);(IH,Ly,1,0.23373097580528968);(HO,5,Res,0.9299485226403026);(HO,0,Mfd,-0.8881469991079094);(IH,LMx,4,0.5487187373427149);(IH,Plr,3,-0.1648318241651383);(IH,Pfd,5,0.06465852916483472);(HO,5,Mrv,0.8411243249590783);(HO,5,Mfd,-0.3453516464502937)"
4,"(IH,LMy,3,-0.26627015972798396);(HO,2,Res,-0.9835408953674809);(HO,0,Kill,-0.9181013649304006);(IH,Bfd,5,-0.685265141059842);(HO,1,MX,-0.05598048427435498);(IH,Sg,3,-0.07753022289031763);(HO,6,OSC,-0.9374424120072766);(IH,LPF,2,-0.309053147602782);(HO,4,MX,-0.6025091618086014);(HO,4,MX,-0.8629564518891333);(HO,2,Mfd,-0.20377587192660918);(IH,Age,1,-0.5518614548293101);(HO,5,Mfd,0.6992089361770408);(IH,Sfd,5,0.742106620747049);(IH,Sg,2,-0.046805003702705905)"
5,"(HO,1,MRL,0.7446912453481886);(HO,1,Mfd,0.28698370891818525);(IH,BD,2,0.2972629103335771);(IH,LPF,1,0.6728618181158095);(IH,BDx,0,-0.45887591085229773);(IH,Ly,6,-0.6030165648594898);(IH,BDx,6,0.9291293014393731);(HO,3,LPD,0.46384215233406434);(HO,2,Mfd,-0.8510838934192437);(HO,1,MX,-0.6124594664377954);(IH,Sfd,5,0.11097571969619957);(HO,4,Mrn,0.36655837277902004);(HO,5,SG,-0.28975546969325694);(HO,1,OSC,-0.5063310097461216);(HO,0,SG,0.933949593826272)"
6,"(HO,2,Res,0.6008277996016653);(IH,Osc,5,0.08734151159275894);(IH,Ly,0,-0.1736602171289312);(IH,Plr,5,0.7682570704414309);(IH,Rnd,4,-0.19366538892711627);(IH,Ly,4,0.5322869235720575);(IH,Sg,0,0.6287536248306032);(HO,1,SG,0.7205308633352185);(IH,Plr,5,0.030737095397352032);(IH,BDy,1,0.760544161615593);(IH,Blr,1,0.19820267418901172);(IH,Sfd,5,-0.33421231276289887);(IH,Osc,5,0.08734151159275894);(HO,2,Mrv,0.6337791572702751);(IH,Age,5,-0.10222771506395034)"
7,"(HO,4,MX,0.5996443275834256);(IH,Bfd,5,0.2811278690187726);(HO,0,SG,0.8723119769602916);(IH,LMy,4,0.4092593476685864);(IH,Bfd,5,0.2811278690187726);(IH,BDx,1,-0.5757737270807313);(HO,0,SG,0.933949593826272);(IH,Sir,6,-0.3916444486394983);(IH,LBf,2,-0.4977385386563068);(IH,BDy,4,-0.9210862870873062);(HO,4,LPD,0.6600218481649824);(IH,BD,6,-0.610625032454523);(HO,5,Mfd,-0.12858518798274154);(HO,4,Mfd,-0.21446530634365746);(HO,5,SG,-0.5128700586492072)"
8,"(HO,0,MRL,-0.04323548408532352);(HO,0,Mfd,0.26481182334038245);(HO,5,SG,0.3909607137070745);(HO,0,MY,0.3021841935354763);(HO,6,LPD,0.8267520116709877);(IH,LMy,1,-0.97285337563322);(IH,LBf,2,-0.4977385386563068);(HO,2,OSC,0.5066461099558426);(IH,BDx,2,0.13411892794242264);(IH,BDy,2,0.265800981157456);(HO,0,Mrv,-0.08410289465671816);(IH,Pfd,4,0.7555179840404758);(IH,Bfd,1,0.4958707810072751);(IH,Pfd,4,0.6126685566861805);(HO,6,Kill,0.37795000554691915)"
9,"(IH,Plr,2,0.3081547914973499);(HO,2,Mrn,-0.6647821621193191);(HO,2,Res,0.6008277996016653);(HO,4,LPD,0.9021044871708244);(IH,Sir,4,0.7340057493852927);(IH,Ly,4,0.5322869235720575);(IH,Plr,1,-0.8623051358805602);(HO,2,Mrn,0.3316641799729443);(IH,Sg,5,-0.6032915353884796);(HO,4,MX,-0.8629564518891333);(HO,0,Mrn,0.4486083031361905);(IH,Sg,4,-0.4646011831160606);(IH,Ly,6,-0.6030165648594898);(IH,BDy,0,-0.9034995448869902);(IH,Rnd,3,0.6518478140041919)"
10,"(IH,Pop,2,0.4752022062877981);(IH,BDy,3,-0.4140964162869081);(IH,Rnd,0,0.26742618919488903);(HO,0,MX,-0.5978332747947201);(IH,BDx,0,-0.957997608594102);(HO,4,MRL,0.2612171241121377);(IH,Blr,3,-0.951574780828766);(HO,1,OSC,0.16028228357493424);(HO,1,MRL,0.3499075736152726);(HO,4,Kill,-0.946600296441966);(IH,LPF,1,-0.27987758005672214);(IH,Plr,6,-0.11799757568083113);(IH,Pfd,6,-0.591029457874569);(HO,1,MY,-0.6173626590951939);(HO,6,Kill,0.37795000554691915)"
11,"(HO,6,Kill,-0.7696168919581565);(IH,Pfd,3,0.011337723669141653);(HO,1,MY,-0.6173626590951939);(IH,LMy,1,0.17598405254646954);(HO,6,LPD,0.34592650334790265);(HO,2,Mrn,0.3316641799729443);(IH,BD,6,0.3285213146776964);(IH,Bfd,1,0.46300870820209084);(HO,4,Res,-0.6513447126862597);(IH,Blr,0,0.33725236864146746);(IH,Bfd,5,0.2811278690187726);(IH,BDx,4,0.17700671530572465);(IH,Pfd,3,-0.43817042535365935);(HO,4,Res,0.9222881189030729);(HO,0,SG,0.933949593826272)"
12,"(HO,4,Mrn,0.8558487424888304);(HO,4,Res,-0.6513447126862597);(IH,Blr,2,0.7374945353796534);(IH,LMy,2,0.9764374895529109);(HO,3,SG,0.414772680708855);(HO,0,SG,0.8715502134702122);(IH,Pop,1,-0.08617822295508848);(HO,0,Mfd,0.8539836143426169);(HO,3,Kill,-0.5063861528727358);(IH,Age,1,0.2705776802283706);(IH,Sg,0,0.3617346282989351);(HO,1,MY,-0.21222997090536544);(HO,5,Mfd,-0.6605551515710608);(HO,4,MRL,-0.8643426016397591);(HO,5,Mfd,-0.30258443399677204)"
13,"(HO,0,SG,0.933949593826272);(HO,0,OSC,-0.3729647630318116);(IH,LMy,6,0.7235273554969546);(IH,LBf,0,-0.6000820991578115);(IH,Pfd,5,0.06465852916483472);(IH,Pfd,3,0.024072709424552308);(HO,4,MX,-0.862195212087068);(HO,4,MX,-0.8629564518891333);(IH,Sir,4,0.0267987436883228);(HO,0,LPD,-0.5992352363926037);(IH,Age,1,-0.5518614548293101);(HO,5,Mfd,-0.3453516464502937);(IH,Rnd,5,0.8013276570557162);(IH,LMx,6,-0.48238452131298093);(HO,6,LPD,-0.15948284708947202)"
14,"(IH,Pop,3,-0.5135891261535883);(IH,Pfd,1,0.29919963088692736);(IH,Lx,2,-0.5509924115688574);(IH,Bfd,5,0.2811278690187726);(IH,Sfd,5,0.11097571969619957);(HO,5,MRL,-0.30090505578423166);(HO,3,Mrn,0.688591103805007);(HO,6,LPD,-0.5679425489721124);(HO,4,Kill,-0.7180476891220153);(HO,2,Res,0.6008277996016653);(IH,Plr,3,-0.1648318241651383);(IH,BDy,3,-0.11121853935233328);(HO,1,Mfd,0.28698370891818525);(IH,Rnd,4,-0.19366538892711627);(IH,Rnd,4,-0.19366538892711627)"
15,"(HO,2,Mrn,-0.6647821621193191);(IH,LPF,6,-0.2953951893194835);(IH,BD,2,0.2972629103335771);(HO,0,MRL,-0.04323548408532352);(IH,Blr,1,0.19820267418901172);(HO,4,SG,-0.7945748873232392);(IH,Gen,3,-0.17388644080962434);(IH,LMy,2,-0.26740559203579006);(IH,Rnd,4,-0.19366538892711627);(IH,Sir,4,0.0267987436883228);(IH,Sir,4,-0.4406362471423868);(IH,Rnd,5,-0.9621384986305035);(HO,0,MY,0.3021841935354763);(IH,Sir,2,-0.5245522782534788);(HO,6,LPD,0.34592650334790265)"
16,"(IH,Sir,3,0.8537923451466081);(HO,1,Mfd,-0.1465381624952451);(IH,Gen,6,0.852262791915372);(HO,0,Kill,-0.9181013649304006);(HO,3,MY,0.5695649848892848);(IH,Sfd,6,0.9109135533249453);(IH,LBf,2,-0.9622552961449);(HO,1,Mfd,-0.9306960779078624);(IH,Age,6,0.7426208485766925);(IH,LBf,3,0.36347142455263937);(HO,1,Mfd,0.1777619221356057);(HO,1,OSC,-0.76125997510827);(HO,4,SG,0.5863080263100253);(IH,Sir,3,0.8537923451466081);(IH,Ly,4,0.5322869235720575)"
17,"(HO,6,MY,0.8011691549771953);(IH,Blr,6,0.7205137551204059);(HO,0,MX,-0.9044544569091095);(HO,1,OSC,-0.5063310097461216);(IH,Osc,2,-0.6509737861386549);(IH,Blr,5,-0.24818770915464694);(IH,Blr,6,-0.6167675432316502);(HO,3,LPD,0.46384215233406434);(HO,4,Res,-0.9266980348550706);(HO,6,Res,-0.3498839786041865);(HO,2,Res,-0.9835408953674809);(IH,Sir,2,-0.5245522782534788);(IH,Gen,2,-0.20025869158037146);(HO,1,MX,0.1524784780689079);(HO,2,Mrv,-0.9140580095966897)"
18,"(IH,BD,5,-0.13173111351175426);(HO,0,MRL,0.0008801024908045019);(HO,5,Mfd,-0.6605551515710608);(IH,Rnd,6,0.6310035380868002);(HO,4,MX,-0.8629564518891333);(HO,4,Mrn,0.8558487424888304);(IH,LPF,2,0.7526327217052209);(IH,LMx,3,0.15077176014034466);(IH,LBf,2,0.43517474134246603);(HO,4,MX,-0.8629564518891333);(HO,2,MY,-0.6180690607934765);(HO,5,Kill,-0.04738152194034595);(IH,LBf,0,-0.6000820991578115);(HO,3,Res,0.6502259637462142);(IH,Sir,2,-0.5245522782534788)"
19,"(HO,0,Kill,0.9772921822733662);(IH,Gen,5,0.14006934338350563);(HO,4,Mrn,0.029440006756669357);(HO,4,Kill,-0.7180476891220153);(HO,1,MY,-0.21222997090536544);(HO,0,SG,-0.3422838061502722);(HO,6,LPD,0.8267520116709877);(IH,Blr,1,-0.08882560992349564);(IH,Age,1,-0.5518614548293101);(IH,Pfd,1,0.29919963088692736);(IH,Pop,5,-0.14931777341805863);(HO,1,Mfd,-0.9306960779078624);(IH,Lx,3,0.10891332486209504);(IH,Plr,3,0.5972830863300986);(HO,1,MX,0.4483311807327264)"
20,"(HO,2,Mfd,-0.8510838934192437);(IH,Lx,4,0.8430676367087346);(IH,Sfd,5,0.11097571969619957);(IH,Age,5,0.523897964060168);(IH,BDx,2,-0.6277762582725743);(IH,Sfd,6,0.9109135533249453);(HO,4,Mrn,0.8558487424888304);(HO,2,SG,0.13289767689834986);(IH,Bfd,5,-0.18115791134053705);(IH,Plr,6,-0.11799757568083113);(HO,1,Mrn,0.50493401696116);(HO,3,MX,0.18867312520209434);(HO,3,Mfd,-0.9576200421618297);(IH,BDx,1,0.503400441740429);(HO,0,OSC,-0.3729647630318116)"
21,"(IH,Plr,3,0.6105443444678704);(IH,Plr,3,0.6105443444678704);(HO,2,Mrv,-0.1368100343121561);(IH,Age,3,-0.6908546709231052);(HO,2,Mfd,0.9099399805321582);(IH,Lx,3,0.10891332486209504);(IH,LBf,0,0.6969211246556402);(IH,Pfd,3,0.011337723669141653);(IH,Age,6,-0.1688929611787089);(HO,3,OSC,-0.3151415029731912);(HO,6,Res,0.5830433607197472);(IH,Ly,4,-0.33748905668359286);(IH,BDy,2,0.265800981157456);(HO,1,SG,0.7205308633352185);(IH,Osc,3,0.8975925192755141)"
