Generation,Survival Rate (%),Genetic Diversity
0,51.74999999999999,224
1,53.5,224
2,49.625,224
3,48.875,224
4,54.25,224
5,52.0,224
6,51.24999999999999,222
7,52.87500000000001,222
8,52.75,222
9,49.875,220
10,49.625,218
11,53.37499999999999,215
12,50.74999999999999,213
13,52.0,210
14,52.75,210
15,54.37499999999999,207
16,51.625,207
17,52.87500000000001,205
18,52.0,203
19,56.375,202
20,55.00000000000001,196
21,55.375,195
22,57.25,195
23,57.375,193
24,55.75,193
25,56.00000000000001,190
26,56.00000000000001,190
27,58.62500000000001,184
28,59.62499999999999,184
29,61.0,184
30,62.625,180
31,64.625,180
32,67.0,178
33,65.375,175
34,68.5,172
35,70.75,172
36,73.375,172
37,75.5,166
38,78.0,163
39,79.375,158
40,78.75,154
41,79.25,151
42,82.125,149
43,82.375,146
44,83.5,145
45,83.25,143
46,85.375,142
47,85.75,142
48,87.0,139
49,86.0,135
50,85.5,133
51,85.5,131
52,90.0,130
53,90.125,130
54,89.375,129
55,89.5,131
56,91.375,130
57,92.25,131
58,92.5,128
59,90.375,127
60,92.5,127
61,93.625,124
62,93.375,125
63,93.0,126
64,93.75,123
65,95.0,121
66,92.875,121
67,94.875,120
68,95.625,117
69,95.0,118
70,93.875,117
71,94.75,118
72,95.375,117
73,95.875,113
74,92.75,111
75,94.0,109
76,96.5,108
77,97.125,107
78,95.25,107
79,97.25,106
80,98.375,105
81,97.0,104
82,96.0,103
83,97.375,101
84,97.625,101
85,96.5,102
86,98.875,101
87,97.0,101
88,97.875,100
89,97.625,100
90,98.5,99
91,98.5,100
92,97.875,98
93,97.0,97
94,98.125,96
95,98.875,97
96,98.125,94
97,98.25,95
98,99.125,96
99,98.75,95
100,0.8750000000000001,95
101,7.249999999999999,48
102,12.125,48
103,20.875,47
104,28.125,49
105,31.75,48
106,42.5,48
107,44.875,47
108,47.5,47
109,51.5,47
110,50.24999999999999,46
111,47.0,46
112,49.375,44
113,51.37500000000001,44
114,48.875,44
115,51.74999999999999,44
116,51.37500000000001,43
117,49.625,44
118,51.87500000000001,47
119,50.5,44
120,49.75,45
121,51.24999999999999,44
122,51.87500000000001,44
123,50.5,43
124,53.0,45
125,47.5,44
126,49.625,42
127,49.75,45
128,48.375,43
129,49.875,42
130,50.74999999999999,44
131,49.25,45
132,50.74999999999999,45
133,48.625,43
134,50.125,43
135,46.75,45
136,51.125,42
137,51.0,42
138,51.5,43
139,47.125,44
140,49.875,44
141,51.0,41
142,48.75,43
143,50.24999999999999,42
144,46.375,41
145,49.5,42
146,51.625,42
147,52.625,44
148,50.5,43
149,51.0,44
150,54.37499999999999,47
151,46.25,45
152,49.125,47
153,48.0,45
154,50.375,47
155,48.625,46
156,49.25,47
157,48.375,45
158,49.25,42
159,52.75,43
160,51.74999999999999,42
161,52.75,42
162,51.5,41
163,48.875,40
164,51.125,41
165,45.625,39
166,46.0,40
167,48.25,40
168,51.5,42
169,48.625,44
170,47.875,45
171,51.74999999999999,46
172,49.25,44
173,49.625,45
174,49.5,46
175,49.875,47
176,49.875,45
177,48.75,43
178,52.125,43
179,48.875,43
180,50.24999999999999,42
181,50.125,42
182,46.625,42
183,53.5,42
184,50.375,39
185,52.5,39
186,49.5,40
187,49.75,38
188,51.625,38
189,49.625,37
190,49.25,37
191,49.5,38
192,53.5,36
193,49.375,36
194,50.625,35
195,47.875,37
196,49.0,36
197,49.25,37
198,50.875,36
199,47.875,35
