Generation,Survival Rate (%),Genetic Diversity
0,48.75,224
1,49.125,224
2,50.875,224
3,52.5,224
4,53.0,224
5,51.5,224
6,52.125,224
7,51.74999999999999,224
8,54.87499999999999,224
9,53.125,222
10,52.0,221
11,49.375,220
12,50.375,218
13,53.37499999999999,214
14,53.25,211
15,51.125,208
16,53.125,207
17,48.25,205
18,57.25,202
19,54.87499999999999,200
20,54.87499999999999,198
21,56.25,197
22,56.25,190
23,56.49999999999999,187
24,61.12499999999999,187
25,59.375,186
26,62.74999999999999,184
27,63.5,181
28,61.75000000000001,181
29,63.87500000000001,180
30,68.125,179
31,70.0,174
32,74.375,172
33,77.0,167
34,79.25,166
35,79.375,163
36,79.375,161
37,84.875,157
38,84.375,153
39,86.75,147
40,85.875,147
41,86.75,145
42,90.75,143
43,89.375,139
44,91.375,139
45,92.75,137
46,91.25,137
47,93.5,136
48,93.625,137
49,95.0,134
50,95.25,133
51,94.75,127
52,96.875,127
53,97.5,126
54,95.875,125
55,96.0,125
56,96.625,125
57,96.0,125
58,97.25,126
59,96.875,124
60,96.5,124
61,97.375,121
62,96.75,123
63,97.375,121
64,98.375,119
65,98.5,120
66,97.625,117
67,99.0,115
68,98.25,115
69,98.625,115
70,98.625,115
71,98.625,114
72,98.125,114
73,98.625,111
74,97.5,109
75,97.875,107
76,98.25,103
77,99.125,101
78,99.125,99
79,99.125,97
80,99.25,97
81,98.625,97
82,98.5,97
83,98.75,97
84,98.75,97
85,99.0,96
86,98.875,96
87,99.25,95
88,99.125,93
89,99.75,94
90,99.875,93
91,100.0,96
92,99.375,96
93,99.5,96
94,98.875,94
95,99.125,94
96,99.375,94
97,99.875,96
98,99.75,94
99,99.375,93
100,99.5,93
101,99.5,94
102,99.75,90
103,100.0,88
104,99.75,85
105,99.375,85
106,99.625,85
107,99.625,84
108,99.625,85
109,99.625,86
110,98.625,86
111,99.625,86
112,99.75,84
113,99.5,84
114,99.625,83
115,98.625,83
116,99.75,81
117,98.75,80
118,99.75,82
119,99.875,81
120,99.375,79
121,99.875,79
122,99.625,80
123,99.5,76
124,99.75,73
125,99.875,75
126,99.75,73
127,99.375,73
128,100.0,72
129,100.0,73
130,99.875,73
131,100.0,76
132,99.875,75
133,100.0,75
134,99.125,76
135,99.75,76
136,100.0,74
137,99.5,73
138,99.875,75
139,99.5,70
140,99.75,70
141,99.875,71
142,100.0,71
143,99.375,74
144,100.0,74
145,99.875,72
146,99.75,71
147,99.5,70
148,100.0,72
149,99.875,71
150,99.75,71
151,99.75,72
152,99.875,72
153,99.75,72
154,100.0,70
155,100.0,71
156,99.75,71
157,100.0,69
158,99.875,68
159,99.75,70
160,100.0,69
161,99.625,69
162,100.0,68
163,100.0,68
164,99.875,69
165,99.75,67
166,100.0,67
167,100.0,68
168,99.875,69
169,99.875,69
170,100.0,68
171,100.0,68
172,100.0,70
173,100.0,69
174,100.0,68
175,100.0,68
176,99.875,67
177,100.0,66
178,99.875,65
179,99.25,66
180,99.875,66
181,99.75,65
182,100.0,63
183,99.75,62
184,100.0,62
185,100.0,61
186,99.5,61
187,100.0,61
188,100.0,61
189,100.0,63
190,100.0,61
191,99.875,60
192,100.0,59
193,99.875,61
194,99.25,59
195,100.0,62
196,99.625,61
197,99.875,60
198,99.5,60
199,99.875,61
200,100.0,61
201,100.0,59
202,100.0,58
203,100.0,58
204,100.0,58
205,100.0,60
206,99.875,60
207,99.5,58
208,100.0,58
209,99.875,58
210,99.75,57
